ID,CogTest1,CogTest2,CogTest3,SpeedComp,MusicComp,Gender
1,108.7567368,104.8338109,102.0454248,99.64070803,-12.42227429,Female
2,90.09581288,102.4098633,101.8105235,94.64757782,-21.95740016,Male
3,106.4860649,99.60967211,104.6396338,97.01791768,-12.02120442,Female
4,86.59224562,94.61453338,94.23525991,93.25609304,-12.36542407,Male
5,97.71682439,100.3972289,96.39817174,100.1918455,-17.51215139,Female
6,104.7527265,101.5665995,97.19742649,98.46511725,-29.23970025,Female
7,100.4307025,103.4650911,101.3351873,94.09224661,-25.57140221,Male
8,113.5709521,,,98.03833619,-21.76832268,Female
9,93.99484418,96.55215365,103.1663799,104.2435642,-20.03460304,Male
10,89.12706778,97.12837024,101.3926283,94.99027789,-5.572079667,Male
11,89.68638037,90.63320297,100.7927008,98.79981141,-15.41843923,Male
12,88.74211946,101.8449688,100.2961912,96.11653516,-24.79405549,Male
13,103.8355898,95.45887889,102.2268829,92.54245015,-26.88594206,Female
14,95.79044668,103.7465827,98.51754991,94.86167946,-21.73676944,Female
15,98.30696448,94.61548949,98.46903065,99.66429578,-21.79529071,Female
16,107.1236368,98.91917964,98.98503203,106.1763942,-22.469065,Female
17,101.1119561,95.04326123,106.8785485,102.3525386,-18.48665931,Male
18,,104.8456814,99.07923455,107.1736147,-25.35152676,Male
19,104.6514467,97.91245152,102.8225307,97.19937104,-17.3859002,Female
20,100.3573891,103.2079059,96.80413787,98.73804365,-27.42523053,Male
21,103.7934764,93.97892997,99.45052706,105.7878707,-21.34560731,Male
22,106.6948144,108.7394397,104.0734269,95.24537541,-17.73562612,Female
23,93.38708412,100.8309798,99.74873158,87.05196554,-19.19998184,Female
24,95.20160931,100.3640935,97.26433353,100.3245319,-15.17486294,Female
25,100.6928582,98.75249204,102.8699502,101.0273062,-20.34264065,Male
26,89.62965989,94.91653361,105.009544,90.61317905,-16.97835217,Male
27,108.1317796,97.99737774,103.1759833,100.389696,-13.48538383,Female
28,92.67995044,98.32492716,101.977255,95.34984214,-24.14572304,Male
29,99.1722911,99.90216491,96.84563967,97.78377221,-27.70759612,Female
30,106.0233282,103.8980711,101.825366,99.43558794,-19.71964297,Female
31,102.3520893,99.92606705,100.6165014,100.850652,-21.41423934,Male
32,93.34407101,98.70116677,92.61671349,102.9180719,-23.25732953,Male
33,100.9081904,96.67200421,100.5810156,102.4207898,-22.5998619,Male
34,102.4496307,98.64108106,101.1701197,102.6073095,-23.89682988,Male
35,98.39020213,97.16132411,99.93097426,97.55869222,-15.63949552,Female
36,88.60440613,97.11935046,100.5087851,90.36022826,-13.08852948,Male
37,99.2685478,98.8539131,102.5815498,98.75511834,-14.04703781,Male
38,107.1875574,102.1651397,105.6284401,96.6343571,-22.57707866,Female
39,98.88887168,96.32482208,100.4807293,98.65352827,-12.57017539,Female
40,94.39035747,102.1146063,96.21016931,95.44125219,-21.67607769,Female
41,84.8554054,98.82263198,97.36659845,94.97880532,-9.452581461,Male
42,97.36042524,99.39406962,102.2400593,97.11288954,-16.63552345,Female
43,102.9230816,96.68934639,101.5211817,105.0479021,-22.71670384,Male
